Эксперимент,Количество признаков,Время обучения,Macro F1
База,26004,0.22698,0.83976
Отсечение очень редких (min_df=2),11613,0.23027,0.84316
Отсечение редких (min_df=3),7936,0.21905,0.83545
Отсечение очень частых (max_df=0.6),25996,0.23779,0.84409
Отсечение частых (max_df=0.5),25993,0.2418,0.84411
Отсечение частых (max_df=0.4),25984,0.23438,0.83979
Отсечение частых и очень редких (min_df=2 max_df=0.5),11602,0.2268,0.84568
Отсечение очень частых и очень редких (min_df=2 max_df=0.6),11605,0.25867,0.84384
